Title,Link,Author Keywords,Index Keywords
"Resilience: A Bridging Concept or a Dead End? ""Reframing"" Resilience: Challenges for Planning Theory and Practice Interacting Traps: Resilience Assessment of a Pasture Management System in Northern Afghanistan Urban Resilience: What Does it Mean in Planning Practice? Resilience as a Useful Concept for Climate Change Adaptation? The Politics of Resilience for Planning: A Cautionary Note","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862007519&doi=10.1080%2f14649357.2012.677124&partnerID=40&md5=8bfc36fc2af7bc507986d21d54738c67",,
"Defining urban resilience: A review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952362027&doi=10.1016%2fj.landurbplan.2015.11.011&partnerID=40&md5=d4a084e69851e1f082a019746f0e6d25","Adaptation; Adaptive capacity; Climate change; Resilient cities; Socio-ecological systems; Urban resilience","Climate change; Decision making; Adaptation; Adaptive capacity; Resilient cities; Socio-ecological systems; Urban resilience; Urban growth; adaptive management; climate change; literature review; theoretical study; urban housing; urban planning"
"Urban landscape sustainability and resilience: The promise and challenges of integrating ecology with urban planning and design","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884813768&doi=10.1007%2fs10980-012-9799-z&partnerID=40&md5=a301d0bccd404cc38e28cd84355117dc","Strategic planning; Urban biodiversity; Urban resilience; Urban sustainability","biodiversity; landscape; resilience; sustainability; urban planning"
"Planning the resilient city: Concepts and strategies for coping with climate change and environmental risk","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875210721&doi=10.1016%2fj.cities.2012.05.004&partnerID=40&md5=2b937c56f5b2e6e2e6a872c120670143","Climate change; Environmental risks; Planning; Urban resilience","climate change; conceptual framework; coping strategy; environmental risk; stakeholder; strategic approach; urban planning; urban society"
"Urban ecosystem services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948188420&doi=10.1007%2f978-94-007-7088-1_11&partnerID=40&md5=fe4448aa5738e2c4393b5d8a49194cd6",,
"The potential of 'Urban Green Commons' in the resilience building of cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871573439&doi=10.1016%2fj.ecolecon.2012.10.016&partnerID=40&md5=696b123e29320a0b91f9efd47d49de75","Cognitive resilience building; Common property systems; Cultural diversity; Ecosystem services; Social-ecological memory; Urban systems","biodiversity; common property resource; cultural change; ecosystem service; environmental economics; environmental protection; greenspace; land management; learning; park management; residential development; resilience; urban system; urbanization"
"A theory on urban resilience to floods-A basis for alternative planning practices","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871963158&doi=10.5751%2fES-05231-170448&partnerID=40&md5=b3fe26b9d81dd3ac3d7329db0353a2d1","Flood adaptation; Flood control; Flood hazard management; Resilience surrogate; Resilience-based management; Resilient cities; Urban floodplains; Urban resilience","adaptive management; flood control; floodplain; hazard management; mitigation; planning practice; planning theory; urban area"
"Resilience trade-offs: addressing multiple scales and temporal aspects of urban resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926497020&doi=10.1177%2f0956247814550780&partnerID=40&md5=759f9d2cab8d456ef8ca63485e0e2377","climate change adaptation; resilience trade-offs; scales; sustainability transition; urban resilience","climate change; disaster management; flooding; hazard management; natural hazard; sustainability; Bolivia; Kampala; Netherlands; Uganda; Chenopodium quinoa"
"The uptake of the ecosystem services concept in planning discourses of European and American cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928159635&doi=10.1016%2fj.ecoser.2014.11.013&partnerID=40&md5=7e764284e8963bf8b9eead0da3f194f6","Discourses; Ecosystem services; Human-nature relations; Policy-making; Resilience; Urban planning",
"Planning for climate change in urban areas: From theory to practice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879981036&doi=10.1016%2fj.jclepro.2012.12.008&partnerID=40&md5=bc9be76441f56034ff8268067e592035","Adaptation; Climate change; Disaster; Risk reduction; Urban planning; Urban resilience; Urban transformation","Developing countries; Disasters; Life cycle; Urban growth; Urban planning; Adaptation; Knowledge development; Organizational learning; Post-disaster response; Risk reductions; Sustainable urban development; Urban resilience; Urban transformation; Climate change"
"Principles and criteria for assessing urban energy resilience: A literature review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971201209&doi=10.1016%2fj.rser.2016.03.028&partnerID=40&md5=a81f807fc7d5b09e2520dcdd9d8ac64d","Assessment; Climate change mitigation and adaptation; Criteria; Principles; Resilience; Sustainability; Urban energy","Behavioral research; Energy resources; Land use; Risk management; Sustainable development; Urban planning; Assessment; Climate change mitigation; Criteria; Principles; Resilience; Urban energy; Climate change"
"Resilience of and through urban ecosystem services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028233610&doi=10.1016%2fj.ecoser.2014.07.012&partnerID=40&md5=b6ff56fff3fea808b2b8ae1cbbb94354","Governance; Resilience; Sustainability; Urban ecosystem services; Urban planning",
"Sustainability and resilience for transformation in the urban century","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064080082&doi=10.1038%2fs41893-019-0250-1&partnerID=40&md5=378e1455c98e11ab8c730d85fab9fe7e",,"Climate change; Gas emissions; Greenhouse gases; Global sustainability; Implementation process; Local policies; Narrow definitions; Transformation process; Urban policy; Urban resilience; Urban sustainability; Sustainable development"
"Urban resilience for whom, what, when, where, and why?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978121142&doi=10.1080%2f02723638.2016.1206395&partnerID=40&md5=47872c0f7517a419adf4428f085d9b55","adaptation; green infrastructure; social-ecological systems; Urban resilience; urban sustainability; vulnerability","adaptive management; infrastructure; sustainability; trade-off; urban geography; urban planning; urban system; vulnerability"
"Transitioning to resilience and sustainability in urban communities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883556272&doi=10.1016%2fj.cities.2013.03.010&partnerID=40&md5=88db35a3bdd5b8bf21653374dde93550","Sustainability; Transition strategy; Urban resilience","adaptive management; social change; sustainable development; urban economy; urban growth; adaptive management; environmental policy; information and communication technology; infrastructure planning; resilience; strategic approach; sustainability; urban area; urban economy; urban planning; urban policy; urban society; urbanization"
"Inserting rights and justice into urban resilience: a focus on everyday risk","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014414534&doi=10.1177%2f0956247816686905&partnerID=40&md5=46c592901465f3e74ff94dfa346853a7","African cities; rights and entitlements; risk; social justice; urban resilience","risk assessment; social justice; urban area; Africa"
"An ecology for cities: A transformational nexus of design and ecology to advance climate change resilience and urban sustainability","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928969674&doi=10.3390%2fsu7043774&partnerID=40&md5=baec6ed9cdd3846753531d9cfa5712de","Climate adaptation; Climate change; Design-ecology nexus; Ecology for cities; Urban design; Urban ecology; Urban resilience; Urban sustainability","climate change; environmental impact; urban development; urban economy; urban population"
"Designing a knowledge co-production operating space for urban environmental governance—Lessons from Rotterdam, Netherlands and Berlin, Germany","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962094530&doi=10.1016%2fj.envsci.2016.01.010&partnerID=40&md5=ff55a92410ece1690101b3b9f590bafd","Governance; Knowledge co-production; Policy; Stakeholder interaction; Sustainability; Urban ecosystem services; Urban resilience","Article; city; ecosystem resilience; environmental management; environmental planning; Germany; human; knowledge management; Netherlands; priority journal; urban area; urbanization"
"Understanding the notion of resilience in spatial planning: A case study of Rotterdam, The Netherlands","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882996355&doi=10.1016%2fj.cities.2013.06.001&partnerID=40&md5=18caa5a64839767b93f4da2a7f5e7e65","Resilience; Rotterdam; Spatial planning; The Netherlands; Water management","climate change; decision making; planning process; resilience; spatial planning; urban planning; urban policy; water management; Netherlands; Rotterdam; South Holland"
"Cities, Skills and Regional Change [Les grandes villes, les compétences et l'évolution régionale]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921025811&doi=10.1080%2f00343404.2012.674637&partnerID=40&md5=e1e527891a54ecbb694aaebafef1fdac","Microeconomics; Regional economics; Urban economics","economic policy; growth rate; human capital; microeconomics; numerical model; productivity; regional economy; spillover effect; urban economy; United States"
"A systems approach to meeting the challenges of urban climate change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867428768&doi=10.1080%2f19463138.2012.718279&partnerID=40&md5=ed76bedaef1021e542174b8c2b50fd09","climate change; governance; poverty; systems approach; urban resilience; urbanisation","climate change; climate effect; environmental management; governance approach; poverty alleviation; urban area; urban population; urbanization"
"The dynamics of peri-urban agriculture during rapid urbanization of Jabodetabek Metropolitan Area","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930208230&doi=10.1016%2fj.landusepol.2015.05.009&partnerID=40&md5=249a8d4cd37ef5a183f490e0f9141e51","Agricultural types; Land use change; Peri-urban agriculture; Urbanization","land use change; megacity; metropolitan area; periurban area; urban agriculture; urban development; urbanization; Indonesia; Jakarta"
"Urban resilience and urban sustainability: What we know and what do not know?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028595824&doi=10.1016%2fj.cities.2017.08.009&partnerID=40&md5=936f4804ddc2ae1843ac1b51cfbe7423","CiteSpace; Urban resilience; Urban sustainability","conceptual framework; decision making; research; sustainability; urban development; urban planning"
"Building up resilience in cities worldwide – Rotterdam as participant in the 100 Resilient Cities Programme","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971283896&doi=10.1016%2fj.cities.2016.05.011&partnerID=40&md5=2c0775f30a734b1236262f4008dfa048","European cities; Governance; Rockefeller Foundation; Urban resilience","capacity building; climate change; complexity; governance approach; planning process; sustainability; urban planning; urban politics; Netherlands; Rotterdam; South Holland"
"Variations in approaches to urban climate adaptation: Experiences and experimentation from the global South","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905194825&doi=10.1016%2fj.gloenvcha.2014.05.010&partnerID=40&md5=bf422d22104af5682a3abf3d24968549","Cities; Climate adaptation; Experimentation; Innovation; Participation; Planning","adaptive management; climate change; decision making; global change; innovation; local government; participatory approach; stakeholder; urban climate; Durban; Ecuador; Gujarat; India; KwaZulu-Natal; Pichincha; Quito; South Africa; Surat"
"Planning support system for climate adaptation: Composing effective sets of blue-green measures to reduce urban vulnerability to extreme weather events","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918769251&doi=10.1016%2fj.buildenv.2014.07.018&partnerID=40&md5=c94928d3739f961571a0f5f392ce3850","Adaptation measures selection assistant; Ecosystem services; Green infrastructure; Planning support systems (PSS); Resilience; Urban climate adaptation","Climate change; Drought; Ecosystems; Floods; Rain; Recharging (underground waters); Thermal stress; Water supply; Weather information services; Adaptation measures selection assistant; Ecosystem services; Green infrastructure; Planning support systems; Resilience; Urban climates; Urban growth; adaptive management; ecosystem service; extreme event; flooding; infrastructural development; planning method; planning system; sustainability; urban area; urban planning; water availability"
"Public perceptions of and willingness to pay for sponge city initiatives in China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012202936&doi=10.1016%2fj.resconrec.2017.02.002&partnerID=40&md5=00fa88736ea90c85b723fd14538ca375","Low-impact development; Public-private partnership; Sponge city; Urban flooding; Willingness to pay","Climate change; Low impact development; Public private partnerships; Sponge city; Urban flooding; Willingness to pay; Floods; flooding; perception; public-private partnership; urban planning; willingness to pay; Article; capital; China; city planning; ecosystem resilience; education; fee; financial management; flooding; government; human; income; knowledge; occupation; perception; resident; sustainable development; China"
"Three Points Approach (3PA) for urban flood risk management: A tool to support climate change adaptation through transdisciplinarity and multifunctionality","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866656781&doi=10.1080%2f1573062X.2012.668913&partnerID=40&md5=da24972021a2418ab5b4daf8d32cc204","complexity; decision making; process management; resilience; social values; spatial planning; water aspects","adaptive management; climate change; decision making; drainage network; flood control; participatory approach; risk assessment; spatial planning; stakeholder; urban area; urban planning; water management; Netherlands"
"Analyzing resilience of urban networks: A preliminary step towards more flood resilient cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873690465&doi=10.5194%2fnhess-13-221-2013&partnerID=40&md5=e7ebcf7e27223ba908c17822a6b263eb",,"agglomeration; conceptual framework; flooding; GIS; risk assessment; satellite data; urban planning; Europe"
"Ecology of urban green spaces: The way forward in answering major research questions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899056691&doi=10.1016%2fj.landurbplan.2013.07.014&partnerID=40&md5=fa01c42d8a8ada2df4118a3e70a878d6","Ecosystem services; Research framework; Research questions; Urban ecology; Urbanization","Biodiversity; Climate change; Ecology; Economic and social effects; Urban planning; Ecosystem services; Research frameworks; Research questions; Urban ecology; Urbanization; Research; biodiversity; climate change; ecosystem service; governance approach; greenspace; Index of Biotic Integrity; landscape ecology; research program; stakeholder; urban ecosystem; urban planning; urbanization"
"Urban–Rural Differences in Disaster Resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987910501&doi=10.1080%2f24694452.2016.1194740&partnerID=40&md5=d89d744f6d135cc578bcefe3bc2653af","disaster resilience; rural; United States; urban","adaptive management; differentiation; disaster management; empirical analysis; rural-urban comparison; statistical analysis; United States"
"What is the purpose of urban climate resilience? Implications for addressing poverty and vulnerability","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888198723&doi=10.1016%2fj.uclim.2013.09.002&partnerID=40&md5=a80183c3a3f1dabdff986ca83283d957","Poverty; Systems; Urban climate resilience; Vulnerability",
"Problematizing resilience: Implications for planning theory and practice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920065836&doi=10.1016%2fj.cities.2014.11.015&partnerID=40&md5=0f187e09276ede85f226d37989adc0c9","Planning theory and practice; Resilience and planning; Urban resilience","planning practice; planning theory; theoretical study; urban planning"
"Rescaling and responsibilising the politics of urban resilience: From national security to local place-making","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887069241&doi=10.1111%2f1467-9256.12011&partnerID=40&md5=dad726087a094328fe09340258b3f45b","Counter-terrorism; Localism; Responsibilisation; Security; Urban resilience","national security; terrorism; urban policy; urban politics; urban system; United Kingdom"
"Assessing cities: A new system of cross-scale spatial indicators","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865843912&doi=10.1080%2f09613218.2012.703488&partnerID=40&md5=d2aa85968624c810d44c62931826b26a","built environment efficiency; environmental assessment; spatial indicators; sustainable cities; urban efficiency; urban resilience; urban tools","Built environment; Environmental assessment; Spatial indicators; Sustainable cities; Urban resilience; Energy efficiency; Environmental impact; Sustainable development"
"Towards Next-Generation Urban Resilience in Planning Practice: From Securitization to Integrated Place Making","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879535563&doi=10.1080%2f02697459.2013.787693&partnerID=40&md5=c8b803035b0b8418e650215d61f365c3","localism; place-making; planning; resilience; security","national planning; planning practice; security; strategic approach; urban area; United Kingdom"
"From the «Resilient city» to urban resilience. a review essay on understanding and integrating the resilience perspective for urban systems [De la «ciutat resilient» a la resiliència urbana. Un estat de la qüestió sobre la comprensió i la integració de la perspectiva de la resiliència en sistemes urbans]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861790663&doi=10.5565%2frev%2fdag.175&partnerID=40&md5=ae516ca8d4eded846df1995c3b2ce023","Adaptation to climate change; Resilient cities; Sustainability; Transition towns; Urban resilience","adaptive management; climate change; conceptual framework; sustainability; urban system"
"Seven lessons for planning nature-based solutions in cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059341339&doi=10.1016%2fj.envsci.2018.12.033&partnerID=40&md5=b25fcd2f9168706ce5320590b1cce8b9","Cities; Climate adaptation; Co-creation; Experiments; Nature-based solutions; Urban resilience","article; city; climate; clinical article; ecosystem; government; human; learning; narrative; perception; proof of concept; trust"
"Use of fuzzy cognitive maps to study urban resilience and transformation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959313700&doi=10.1016%2fj.eist.2015.06.006&partnerID=40&md5=1b074d6418688d08685c060bc1a92081","Bilbao; Fuzzy Cognitive Mapping; Sustainable transformation; Transformability; Urban resilience","connectivity; ecosystem resilience; fuzzy mathematics; governance approach; mapping method; perception; stakeholder; sustainable development; urban area; urban planning; urban policy; Basque Country [Spain]; Bilbao; Bizkaia; Spain"
"Urban resilience efforts must consider social and political forces","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009172871&doi=10.1073%2fpnas.1620081114&partnerID=40&md5=6462d0dc57201bc9a601bae340126d57",,"city planning; climate change; coping behavior; decision support system; disaster planning; dynamics; economic development; environmental sustainability; flooding; geographic information system; human; hydrology; Note; politics; priority journal; society; sociology; urban area; urban population; water management"
"Assessment of Urban Ecosystem Resilience through Hybrid Social-Physical Complex Networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905369411&doi=10.1111%2fmice.12080&partnerID=40&md5=464c786dbe247f8bf6ea969fa74c9fe1",,"Social aspects; Catastrophic event; Ecosystem approach; Efficiency measure; Global efficiency; Mathematical definitions; Reconstruction process; Residential building; Urban environments; Efficiency; catastrophic event; hazard assessment; numerical model; reconstruction; urban development; urban ecosystem; urban planning; Italy"
"Adaptive climate change governance for urban resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925625361&doi=10.1177%2f0042098014527483&partnerID=40&md5=29d32f60a04828e04a7f5cd78c7977e8","climate change; governance; resilience; transitions; urban","adaptive management; climate change; database; future prospect; governance approach; technological change; uncertainty analysis"
"Opportunities for increasing resilience and sustainability of urban social-ecological systems: Insights from the URBES and the cities and biodiversity outlook projects","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902121318&doi=10.1007%2fs13280-014-0505-z&partnerID=40&md5=7e59e34380de7b1c0c7b17f4d361d30f","CBO; Ecosystem services; Governance; Urbanization; URBES","biodiversity; decision making; ecosystem service; governance approach; sustainability; urban development; urban ecosystem; urbanization; Barcelona [Catalonia]; Berlin; Catalonia; Germany; Netherlands; New York [United States]; Rotterdam; South Holland; Spain; Stockholm [Sweden]; Sweden; United States; article; biodiversity; city; environmental protection; urbanization; Biodiversity; Cities; Conservation of Natural Resources; Urbanization"
"How can urban green spaces be planned for climate adaptation in subtropical cities?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021726276&doi=10.1016%2fj.ecolind.2017.07.002&partnerID=40&md5=d821f6e135d0c531379b3e636556938a","Climate adaptation; Threshold value of efficiency; Urban cooling island; Urban greenspace; Urban planning","Atmospheric temperature; Ecology; Ecosystems; Efficiency; Landforms; Urban planning; Climate adaptation; Diminishing marginal utilities; Land surface temperature; Landscape planning; Radiative transfer equations; Threshold-value; Urban cooling islands; Urban greenspace; Climate change; adaptive management; climate change; cooling; ecosystem service; efficiency measurement; grassland; greenspace; heat island; land surface; landscape planning; radiative transfer; subtropical region; surface temperature; threshold; urban area; urban ecosystem; urban planning; China; Fujian; Fuzhou"
"Of resilient places: planning for urban resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952298509&doi=10.1080%2f09654313.2015.1082980&partnerID=40&md5=86eef36a9f7a3668dee35ef23ebbcbd0","Coupled socio-ecological systems; Eco-cities; Resilient cities; Social innovation; Town and country planning; Transition initiative","empowerment; innovation; learning; stakeholder; town planning; urban planning; United Kingdom"
"New in town? On resilience and "" Resilient Cities""","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878913779&doi=10.1016%2fj.cities.2013.01.003&partnerID=40&md5=86a816ab8cc916670228e68e89a16c07","Collaborative projects; Complexity; Environmental planning; Planning theory; Sustainability; Trans-disciplinary research; Urban resilience","complexity; conceptual framework; environmental planning; planning practice; planning theory; project management; spatial planning; sustainability"
"The FEW-Nexus city index – Measuring urban resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013098598&doi=10.1016%2fj.apenergy.2017.02.026&partnerID=40&md5=9ace19479900125b04de83d144e97835","Food-Energy-Water (FEW) Nexus; Resilience; Urbanization","Adhesion; Decision making; Ecology; Sustainable development; Ecological pressure; Environmental sustainability; Global development; Infrastructure development; Resilience; Social vulnerability; Urban resilience; Urbanization; Climate change; climate change; decision making; ecosystem resilience; energy resource; infrastructure planning; marginalization; sustainability; urban area; urbanization; vulnerability; World"
"Enacting Resilience: A Performative Account of Governing for Urban Resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925662990&doi=10.1177%2f0042098013505655&partnerID=40&md5=5bfae8011f95657a79711c2ae23b679b","biodiversity; Melbourne; practice; social-ecological resilience; strategic environmental assessment; strategic spatial planning; urban governance","adaptive management; ecological approach; feedback mechanism; metropolitan area; social change; urban policy"
"Interfacing citizens' and institutions' practice and responsibilities for climate change adaptation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896398051&doi=10.1016%2fj.uclim.2013.10.009&partnerID=40&md5=7ea5d06af22e33850eabfc99cca511b5","Adaptive practice; Climate change adaptation; Coping strategies; Disaster risk reduction; People-oriented planning; Urban resilience and transformation",
"Advocacy for urban resilience: UNISDR's Making Cities Resilient Campaign","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899639623&doi=10.1177%2f0956247813518684&partnerID=40&md5=76bd4a2f675c18291b433d491b6d90dd","disaster; local government; planning; resilience; risk reduction; urban","advocacy; disaster management; institutional framework; local government; stakeholder; urban development; urban planning"
"Resilience as a policy narrative: potentials and limits in the context of urban planning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016245234&doi=10.1080%2f17565529.2017.1301868&partnerID=40&md5=a94e1b4ec33b0ca49e942afbd1a2a8b0","climate change; discourse; policy narrative; resilience; urbanization","climate change; literature review; political economy; urban planning; urban policy; urban population; urbanization"
"The neglected social dimensions to a vehicle-to-grid (V2G) transition: A critical and systematic review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041105965&doi=10.1088%2f1748-9326%2faa9c6d&partnerID=40&md5=759fb14008add68008f3e3bcc8429c18",,"Carbon; Charging (batteries); Electric energy storage; Electric power systems; Electric power transmission networks; Gas emissions; Greenhouse gases; Sustainable development; Vehicles; Consumer acceptance; Natural resource use; Renewable energy storages; Societal transitions; Systematic Review; Technical aspects; Transportation system; Vehicle to Grid (V2G); Electric power system security; alternative energy; electric vehicle; electrical power; electricity; emission control; energy efficiency; energy market; literature review; market transition; profitability; savings; smart grid; strategic approach; transportation system"
"A Global Geospatial Ecosystem Services Estimate of Urban Agriculture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040254441&doi=10.1002%2f2017EF000536&partnerID=40&md5=122bb03c27f0cdc27e879e992dd1269c","earth engine; ecosystem services; food security; remote sensing; urban agriculture; urban resilience","economic analysis; ecosystem resilience; ecosystem service; environmental change; estimation method; food production; food security; global change; implementation process; natural capital; remote sensing; urban agriculture; urban morphology"
"Empirically quantifying city-scale transportation system resilience to extreme events","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017409033&doi=10.1016%2fj.trc.2017.03.002&partnerID=40&md5=c803b654bf9169587495a7552f713c97","GPS; Taxi data; Transportation data analytics; Urban resilience","Crashworthiness; Global positioning system; Hurricanes; Taxicabs; Transportation; Travel time; Data analytics; Extreme deviations; Post-disaster response; Taxi data; Traffic conditions; Transportation infrastructures; Transportation system; Urban resilience; Urban transportation; empirical analysis; extreme event; GPS; quantitative analysis; taxi transport; transportation infrastructure; transportation system; travel time; urban transport; New York [New York (STT)]; New York [United States]; United States"
"Resilience assessment of complex urban systems to natural disasters: A new literature review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048527232&doi=10.1016%2fj.ijdrr.2018.05.015&partnerID=40&md5=63f8bbae3bfc5fd27e1f84c354a18693","Fragility analysis; Natural disasters; Network approach; Open space; Resilience assessment; Urban system",
"Urban policies, planning and retail resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888821463&doi=10.1016%2fj.cities.2012.11.006&partnerID=40&md5=45fd8317f8900ba3308dc97f2a000a2e","Europe; Public policies; Resilience; Retail; Spatial planning","deregulation; planning system; policy making; retailing; spatial planning; urban area; urban planning; urban policy; France; Portugal; Sweden; Turkey"
"Towards an urban resilience index: A case study in 50 Spanish cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983744478&doi=10.3390%2fsu8080774&partnerID=40&md5=15364fd466a2c9dcf7789b5c571bbd34","Spanish province capitals; Sustainability indicators; Urban resilience; Urban resilience index","conservation management; ecosystem resilience; environmental planning; land use change; sustainability; urban ecosystem; urbanization; Spain"
"Developing an integrated framework to quantify resilience of urban systems against disasters","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938991342&doi=10.1007%2fs11069-015-1798-3&partnerID=40&md5=cb98985d2a822bf0f36c02de3440c080","Complex systems; Disaster resilience; Quality of life; Sustainability; Urban networks","catastrophic event; disaster management; hazard assessment; quality of life; sustainability; urban planning; urban system"
"Integrating resilience with urban sustainability in neglected neighborhoods: Challenges and opportunities of transitioning to decentralized water management in Mexico City","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926480660&doi=10.1016%2fj.habitatint.2015.03.016&partnerID=40&md5=87d4d1ddc6623f179b018b8b5ac331b7","Climate change adaptation; Decentralized water management; Mexico City Green Plan; Neglected neighborhoods; Urban resilience; Urban sustainability","climate change; decentralization; environmental planning; sustainability; urban area; urban development; urban planning; water management; Federal District [Mexico]; Mexico City; Mexico [North America]"
"Introduction: Governing for urban resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925590135&doi=10.1177%2f0042098015574955&partnerID=40&md5=50bbcf2972bf3a04e2126bc4db40763c","governance; local knowledge; memory; scale; social justice; social-ecological resilience",
"Urban design principles for flood resilience: Learning from the ecological wisdom of living with floods in the Vietnamese Mekong Delta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992216754&doi=10.1016%2fj.landurbplan.2016.01.014&partnerID=40&md5=3f913bc84c86e04cf28c0e2f62ec321d","Adaptation; Flood hazard mitigation; Living with floods; Mekong Delta; Urban design; Urban resilience","Ecology; Flood control; Hazards; Adaptation; Flood hazards; Mekong Delta; Urban design; Urban resilience; Floods; flood; flood control; flood damage; flooding; knowledge; urban area; urban design; Mekong Delta; Viet Nam"
"Assessing urban strategies for reducing the impacts of extreme weather on infrastructure networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967195422&doi=10.1098%2frsos.160023&partnerID=40&md5=811794f2bede53592d0b4765e8a514b6","Flooding; Impact; Modelling; Network; Transport",
"Healthy design and urban planning strategies, actions, and policy to achieve salutogenic cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057978410&doi=10.3390%2fijerph15122698&partnerID=40&md5=743d6953a4d5849822c72fddb864e8a8","Health promotion; Healthy urban planning strategies; Non-communicable disease prevention; Public health; Salutogenic cities; Urban health","action plan; disease control; noncommunicable disease; public health; urban design; urban planning; urban policy; architecture; Article; city planning; climate change; ecosystem resilience; emergency; environmental change; environmental planning; environmental policy; government; human; land use; management; socioeconomics; waste management; welfare; wellbeing; city planning; health care policy; health promotion; hygiene; Italy; procedures; public health; sense of coherence; standards; urban health; Italy; City Planning; Health Policy; Health Promotion; Humans; Hygiene; Italy; Policy Making; Public Health; Sense of Coherence; Urban Health"
"Institutionally configured risk: Assessing urban resilience and disaster risk reduction to heat wave risk in London","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925684771&doi=10.1177%2f0042098013510957&partnerID=40&md5=667d275908d74b81896b950991bf22d7","climate; governance; healthcare; risk management; urban resilience","adaptive management; disaster; governance approach; planning practice; risk assessment; vulnerability; England; London [England]; United Kingdom"
"The technological resilience of US cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936750468&doi=10.1093%2fcjres%2frsv007&partnerID=40&md5=9a3002afcd123deecb3f4ba430d103e5","institutions; intercity networks; related knowledge structure; technological crisis; urban resilience","econometrics; institutional framework; knowledge; technology; urban economy; United States"
